Game Started,MP,FGA,2PA,3PA,FTA,PER,AST%,TOV%,USG%,OWS,ORtg,OBPM,DWS,MP_(POI_Per_Game),FGA_(POI_Per_Game),2PA_(POI_Per_Game),3PA_(POI_Per_Game),FTA_(POI_Per_Game),ORB,DRB,TRB,AST,TOV,PTS,PTS_3,PTS_5,PTS_7,PTS_10,Player,Date2,Opp
0,12.0,6,2,4,3,9.8,15.1,13.0,19.9,0.1,103.0,-0.8,2.5,5.9,2.2,1.2,1.0,0.3,0.2,0.3,0.5,0.6,0.3,2.3,0.0,0.2,0.42857142857142855,0.5,Aaron Brooks,2018-03-24,PHI
0,9.0,2,1,1,0,9.8,15.1,13.0,19.9,0.1,103.0,-0.8,0.3,5.9,2.2,1.2,1.0,0.3,0.2,0.3,0.5,0.6,0.3,2.3,2.0,2.2,1.5714285714285714,2.4,Aaron Brooks,2017-11-26,PHO
0,2.0,1,1,0,0,9.8,15.1,13.0,19.9,0.1,103.0,-0.8,2.0,5.9,2.2,1.2,1.0,0.3,0.2,0.3,0.5,0.6,0.3,2.3,0.6666666666666666,2.2,2.142857142857143,2.1,Aaron Brooks,2018-01-24,POR
0,1.0,0,0,0,0,9.8,15.1,13.0,19.9,0.1,103.0,-0.8,1.5,5.9,2.2,1.2,1.0,0.3,0.2,0.3,0.5,0.6,0.3,2.3,0.0,0.2,0.42857142857142855,0.9,Aaron Brooks,2018-02-26,SAC
1,26.0,12,9,3,8,14.4,24.2,14.9,25.0,1.7,103.0,1.0,3.9,23.0,10.0,6.1,3.8,2.1,0.4,1.6,2.0,3.2,1.9,11.6,10.666666666666666,10.4,9.714285714285714,9.2,Aaron Brooks,2015-03-08,SAS
0,12.0,2,1,1,0,9.5,20.7,17.2,19.2,-0.2,98.0,-2.1,1.4,13.8,4.6,2.6,2.0,0.6,0.3,0.8,1.1,1.9,1.0,5.0,9.666666666666666,7.8,7.571428571428571,5.8,Aaron Brooks,2017-04-04,TOR
0,16.0,12,6,6,2,9.8,15.1,13.0,19.9,0.1,103.0,-0.8,1.6,5.9,2.2,1.2,1.0,0.3,0.2,0.3,0.5,0.6,0.3,2.3,2.6666666666666665,1.6,1.2857142857142858,1.1,Aaron Brooks,2018-04-01,UTA
0,8.0,1,1,0,0,9.8,15.1,13.0,19.9,0.1,103.0,-0.8,1.3,5.9,2.2,1.2,1.0,0.3,0.2,0.3,0.5,0.6,0.3,2.3,2.6666666666666665,2.8,2.2857142857142856,2.6,Aaron Brooks,2017-11-28,WAS
1,28.0,6,3,3,0,15.1,16.6,12.3,21.8,1.8,107.0,-0.2,1.0,33.8,13.4,9.0,4.4,3.2,1.7,5.7,7.4,3.7,2.1,16.0,16.0,16.4,14.142857142857142,16.2,Aaron Gordon,2019-04-05,ATL
1,41.0,13,9,4,2,15.1,16.6,12.3,21.8,1.8,107.0,-0.2,3.4,33.8,13.4,9.0,4.4,3.2,1.7,5.7,7.4,3.7,2.1,16.0,11.666666666666666,15.6,14.857142857142858,15.1,Aaron Gordon,2019-04-07,BOS
