Season,Tm,Lg,G,W,L,W/L%,MOV,SOS,SRS,Pace,ORtg,DRtg,eFG%_Team,TOV%_Team,ORB%_Team,FT/FGA_Team,eFG%_Opp,TOV%_Opp,ORB%_Opp,FT/FGA_Opp
2014-15,PHO,NBA,82,39,43,0.476,-0.9,0.52,-0.38,96.3,105.3,106.2,0.501,13.7,24.5,0.191,0.497,14,26.5,0.221
2017-18,DET,NBA,82,39,43,0.476,-0.15,-0.11,-0.26,96.2,107.2,107.3,0.512,12.3,22.7,0.169,0.524,13.7,21.5,0.172
2018-19,CHO,NBA,82,39,43,0.476,-1.1,-0.22,-1.32,98.7,111.4,112.5,0.514,10.9,21.7,0.205,0.538,12.1,22.9,0.179
2018-19,MIA,NBA,82,39,43,0.476,-0.23,-0.22,-0.45,98.2,107.3,107.6,0.515,13.1,24.8,0.172,0.51,12.7,22.4,0.201
2018-19,SAC,NBA,82,39,43,0.476,-1.12,0.31,-0.81,103.1,110.4,111.5,0.524,11.5,23.1,0.177,0.533,13.6,24.5,0.207
2014-15,BRK*,NBA,82,38,44,0.463,-2.88,-0.25,-3.13,92.7,104.4,107.4,0.491,13,23.9,0.2,0.506,12.9,26.3,0.185
2014-15,IND,NBA,82,38,44,0.463,0.28,-0.51,-0.23,93.2,103.5,103.2,0.484,13.1,24,0.201,0.478,12,22.1,0.217
2014-15,UTA,NBA,82,38,44,0.463,0.22,0.49,0.71,90.4,105.1,104.9,0.494,14.6,29.1,0.214,0.491,12.8,23.7,0.199
2014-15,MIA,NBA,82,37,45,0.451,-2.6,-0.32,-2.92,90.9,103.9,106.7,0.5,14.5,23.2,0.227,0.505,14.2,26.6,0.213
2016-17,DET,NBA,82,37,45,0.451,-1.12,-0.17,-1.29,95,106,107.1,0.492,10.9,24.1,0.157,0.516,12.1,18.8,0.197
2018-19,LAL,NBA,82,37,45,0.451,-1.72,0.39,-1.33,103.2,107.8,109.5,0.527,13.4,22.2,0.18,0.516,12.2,23.6,0.192
2016-17,CHO,NBA,82,36,46,0.439,0.2,-0.26,-0.07,95.7,108.8,108.6,0.501,10.7,19.9,0.227,0.523,12.1,20.4,0.164
2017-18,CHO,NBA,82,36,46,0.439,0.26,-0.19,0.07,98.4,109.4,109.1,0.508,11.4,22.2,0.233,0.532,12.4,19.3,0.165
2017-18,CHO,NBA,82,36,46,0.439,0.26,-0.19,0.07,98.4,109.4,109.1,0.508,11.4,22.2,0.233,0.532,12.4,19.3,0.165
2017-18,LAL,NBA,82,35,47,0.427,-1.55,0.11,-1.44,100.3,106.5,108,0.517,13.8,23.6,0.188,0.514,12.5,22.3,0.19
2015-16,ORL,NBA,82,35,47,0.427,-1.62,-0.06,-1.68,96,105.1,106.8,0.5,12.8,23.1,0.175,0.513,13.8,23.5,0.215
2016-17,NOP,NBA,82,34,48,0.415,-2.1,0.41,-1.69,98,105.2,107.4,0.504,11.7,18.5,0.192,0.509,12.4,23.2,0.177
2016-17,DAL,NBA,82,33,49,0.402,-2.93,0.4,-2.53,92.2,105.6,108.8,0.505,11.6,18.1,0.18,0.529,14.4,22.4,0.218
2014-15,CHO,NBA,82,33,49,0.402,-3.17,-0.27,-3.44,93,100.1,103.5,0.456,11.2,22.1,0.202,0.487,12,20.7,0.188
2015-16,DEN,NBA,82,33,49,0.402,-3.1,0.29,-2.81,95.7,105.6,108.9,0.489,13.2,25.8,0.216,0.515,12.6,22.7,0.216
2018-19,MEM,NBA,82,33,49,0.402,-2.6,0.51,-2.08,96.6,106.1,108.8,0.508,12.9,20,0.21,0.521,13.9,22.4,0.232
2018-19,NOP,NBA,82,33,49,0.402,-1.33,0.23,-1.1,103.3,111.4,112.6,0.529,12.6,24.1,0.193,0.532,11.6,23.2,0.193
2015-16,MIL,NBA,82,33,49,0.402,-4.18,0.2,-3.98,94.2,104.3,108.7,0.499,14.2,24.9,0.207,0.51,14.2,26.9,0.221
2015-16,SAC,NBA,82,33,49,0.402,-2.48,0.16,-2.32,100,106,108.4,0.51,14.2,23.9,0.214,0.521,14,25.1,0.202
2018-19,DAL,NBA,82,33,49,0.402,-1.28,0.42,-0.87,99,109.4,110.7,0.519,12.7,22.7,0.216,0.522,11.6,22.5,0.191
2014-15,DET,NBA,82,32,50,0.39,-1,-0.39,-1.39,92.8,105.3,106.4,0.482,12.3,27.7,0.184,0.502,13.2,25,0.192
2015-16,NYK,NBA,82,32,50,0.39,-2.73,0,-2.74,93.4,104.6,107.6,0.483,12.6,23.7,0.205,0.487,10.5,24.2,0.204
2016-17,SAC,NBA,82,32,50,0.39,-3.88,0.58,-3.29,94.9,107.3,111.3,0.516,13.7,21,0.22,0.528,12.9,23.7,0.227
2018-19,WAS,NBA,82,32,50,0.39,-2.9,-0.4,-3.3,101.4,111.1,113.9,0.531,12.3,21.3,0.204,0.546,13.5,25.9,0.199
2016-17,MIN,NBA,82,31,51,0.378,-1.11,0.47,-0.64,94.6,110.8,112,0.511,12.9,27.2,0.229,0.535,13.2,24.1,0.212
2016-17,NYK,NBA,82,31,51,0.378,-3.67,-0.2,-3.87,96,107.7,111.5,0.496,12.4,26.6,0.188,0.511,11.7,25.9,0.214
2014-15,DEN,NBA,82,30,52,0.366,-3.55,0.48,-3.07,96.1,104.5,108.2,0.479,12.7,26.6,0.204,0.504,13,25.3,0.239
2015-16,NOP,NBA,82,30,52,0.366,-3.79,0.24,-3.56,96.8,105.6,109.5,0.498,12.3,21.2,0.201,0.523,12.7,21.2,0.225
2017-18,NYK,NBA,82,29,53,0.354,-3.56,0.03,-3.53,96.8,107.1,110.7,0.51,13.3,24.1,0.17,0.522,12.2,23.3,0.208
2015-16,MIN,NBA,82,29,53,0.354,-3.54,0.15,-3.38,95.2,106.5,110.1,0.498,13.9,24.3,0.263,0.524,13.6,25.3,0.2
2016-17,ORL,NBA,82,29,53,0.354,-6.57,-0.04,-6.61,96.8,103.7,110.5,0.489,12.1,21.6,0.184,0.523,11.9,22.6,0.201
2018-19,ATL,NBA,82,29,53,0.354,-6.02,-0.04,-6.06,103.9,108.1,113.9,0.522,14.3,24.7,0.192,0.541,12.8,23.6,0.237
2014-15,SAC,NBA,82,29,53,0.354,-3.71,0.64,-3.07,95.4,105.3,109.2,0.49,14.8,26.5,0.276,0.507,11.8,24.8,0.2
2016-17,PHI,NBA,82,28,54,0.341,-5.7,-0.14,-5.83,98.5,103.2,108.9,0.501,14.9,22.4,0.199,0.512,13.5,24.7,0.234
2017-18,BRK,NBA,82,28,54,0.341,-3.74,0.07,-3.67,98.9,106.9,110.6,0.514,13.6,21,0.201,0.517,11,23,0.201
2017-18,SAC,NBA,82,27,55,0.329,-6.99,0.39,-6.6,94.9,103.7,111.1,0.502,12.8,21.5,0.143,0.542,13.5,22.4,0.199
2017-18,CHI,NBA,82,27,55,0.329,-7.04,0.2,-6.84,98.3,103.8,110.9,0.497,12.6,20.6,0.164,0.542,12.4,19.4,0.184
2016-17,LAL,NBA,82,26,56,0.317,-6.88,0.58,-6.29,98.5,106,113,0.501,13.5,25,0.195,0.542,13,24.2,0.213
2017-18,ORL,NBA,82,25,57,0.305,-4.82,-0.1,-4.92,98.1,105.2,110.1,0.512,13.3,20,0.18,0.525,12.8,24.4,0.187
2014-15,ORL,NBA,82,25,57,0.305,-5.72,-0.15,-5.87,93.8,101.6,107.7,0.494,14,23.1,0.168,0.514,13.6,24,0.21
2017-18,DAL,NBA,82,24,58,0.293,-3.04,0.34,-2.7,95.6,106.3,109.5,0.513,11.6,18,0.166,0.532,12.9,21.1,0.193
2016-17,PHO,NBA,82,24,58,0.293,-5.63,0.49,-5.14,100.3,106.6,112.2,0.493,13.4,26,0.231,0.525,13.1,23.6,0.264
2017-18,ATL,NBA,82,24,58,0.293,-5.45,0.15,-5.3,98.3,105,110.6,0.512,14.1,21.1,0.185,0.536,13.6,23.8,0.183
2015-16,PHO,NBA,82,23,59,0.28,-6.66,0.34,-6.32,98.5,102.2,109,0.487,15.2,25.4,0.204,0.523,13.5,22.9,0.237
2017-18,MEM,NBA,82,22,60,0.268,-6.21,0.39,-5.81,94.9,104.5,111,0.5,14,22.4,0.201,0.529,13.8,23.5,0.256
2018-19,CHI,NBA,82,22,60,0.268,-8.41,0.1,-8.32,99,104.8,113.2,0.505,12.7,19.4,0.184,0.541,11.9,22.7,0.188
2015-16,BRK,NBA,82,21,61,0.256,-7.35,0.24,-7.12,95.2,103.2,110.9,0.492,13.6,24.1,0.186,0.534,13.1,24.3,0.176
2014-15,LAL,NBA,82,21,61,0.256,-6.84,0.67,-6.17,94,103.4,110.6,0.473,12.1,25.4,0.204,0.518,12.1,23.7,0.231
2017-18,PHO,NBA,82,21,61,0.256,-9.37,0.57,-8.8,100.3,103.5,112.8,0.495,13.9,22.5,0.203,0.533,11.9,23.5,0.212
2016-17,BRK,NBA,82,20,62,0.244,-6.73,-0.01,-6.74,101.3,104.1,110.7,0.507,14.7,19.6,0.228,0.513,11.6,23.9,0.212
2018-19,PHO,NBA,82,19,63,0.232,-9.34,0.73,-8.61,100.5,105.9,115.1,0.514,13.8,20.5,0.202,0.545,13.5,27.5,0.236
2018-19,CLE,NBA,82,19,63,0.232,-9.61,0.22,-9.39,96.6,107.7,117.6,0.503,12.2,23.7,0.187,0.564,11.5,23,0.181
2014-15,PHI,NBA,82,18,64,0.22,-8.98,-0.07,-9.04,95.7,95.5,104.8,0.459,16,25.5,0.195,0.497,15.2,27,0.225
2015-16,LAL,NBA,82,17,65,0.207,-9.56,0.64,-8.92,95.6,101.6,111.6,0.46,12.5,23.1,0.228,0.523,11.6,25.3,0.202
2018-19,NYK,NBA,82,17,65,0.207,-9.21,0.28,-8.93,99.6,104.5,113.7,0.49,12.4,22.1,0.205,0.533,11.7,23.9,0.203
2014-15,NYK,NBA,82,17,65,0.207,-9.32,-0.18,-9.5,91.2,99.9,110,0.47,14,24.5,0.18,0.512,13.3,26.9,0.234
2014-15,MIN,NBA,82,16,66,0.195,-8.79,0.79,-8,94.4,102.9,112.2,0.468,13.7,26.6,0.24,0.537,13.9,28.4,0.187
2015-16,PHI,NBA,82,10,72,0.122,-10.23,0.31,-9.92,97.9,98.8,109.2,0.487,14.8,20.6,0.186,0.51,13.5,26,0.24
2018-19,MIN*,NBA,82,36,46,0.439,-1.5,0.48,-1.02,100.2,111.4,112.9,0.511,11.4,24.6,0.21,0.538,12.9,25.1,0.19
