Player,Season,Age,Tm,Lg,WS,G,GS,MP,PER,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,OWS,DWS,WS/48,OBPM,DBPM,BPM,VORP
Jae Crowder,2014-15,24,TOT,NBA,3.9,82,17,1647,13.9,0.382,0.259,4.7,14.9,9.7,8.6,2.2,1.2,7.5,17.5,108,104,1.9,2,0.113,-0.1,0.6,0.6,1.1
Danilo Gallinari,2014-15,26,DEN,NBA,3.9,59,27,1426,16.8,0.53,0.336,2.3,14.7,8.3,9.4,1.6,1.1,8,21.5,114,109,3,1,0.132,2.3,-1.1,1.3,1.2
Jeff Green,2017-18,31,CLE,NBA,3.9,78,13,1828,14.8,0.275,0.379,3.7,11.2,7.6,8,1.1,1.6,9.4,19.3,115,114,3.1,0.8,0.103,-0.2,-1.7,-1.9,0.1
Jordan Hill,2015-16,28,IND,NBA,3.9,73,11,1513,16.4,0.002,0.228,11.3,21.2,16.3,9.5,1.2,2,13.2,20.3,106,102,1.6,2.3,0.124,-1.7,0.9,-0.7,0.5
Kosta Koufos,2017-18,28,SAC,NBA,3.9,71,13,1391,17.5,0,0.19,11.7,27.6,19.3,9.7,1.7,2.2,10.4,15.2,117,108,2.3,1.5,0.134,-0.8,1.4,0.5,0.9
Courtney Lee,2015-16,30,TOT,NBA,3.9,79,65,2334,11.5,0.34,0.185,1.4,8.7,4.9,9.1,1.9,1.1,9.4,14.7,109,109,2.1,1.7,0.08,-0.5,-0.1,-0.6,0.9
Courtney Lee,2017-18,32,NYK,NBA,3.9,76,69,2310,13,0.368,0.164,1.4,9.3,5.4,11.3,1.7,0.6,9.4,16.9,112,113,2.7,1.2,0.082,0.8,-0.7,0,1.2
Trey Lyles,2017-18,22,DEN,NBA,3.9,73,2,1391,17.9,0.396,0.26,4.5,23.5,14,10.1,1.1,2,9,21.1,116,110,2.7,1.2,0.134,0.6,-1.4,-0.8,0.4
Nikola Mirotic,2015-16,24,CHI,NBA,3.9,66,38,1646,15.6,0.568,0.297,3.8,19.1,11.6,9.4,1.8,2,12.9,21.1,107,104,1.8,2.2,0.115,1.1,0.1,1.2,1.3
Marcus Morris,2016-17,27,DET,NBA,3.9,79,79,2565,12.4,0.355,0.184,3.2,12.8,7.8,9.4,1,0.8,7.4,20.3,105,109,1.4,2.4,0.072,-0.3,-0.2,-0.5,1
Kyle O'Quinn,2016-17,26,NYK,NBA,3.9,79,8,1229,20.5,0.041,0.201,13.7,24.8,19.2,14.8,1.5,6.9,14.5,18.5,114,105,2.1,1.8,0.151,-0.1,3.7,3.5,1.7
P.J. Tucker,2017-18,32,HOU,NBA,3.9,82,34,2281,8.3,0.703,0.136,4.6,17.8,11.3,4.6,1.7,1,13.7,10.5,107,106,1,3,0.082,-1.5,1.5,0,1.2
Cody Zeller,2018-19,26,CHO,NBA,3.9,49,47,1243,17.2,0.064,0.409,9.4,19.7,14.5,12.1,1.5,2.9,13.2,16.3,123,111,2.6,1.2,0.15,0.2,1.7,2,1.2
Harrison Barnes,2017-18,25,DAL,NBA,3.8,77,77,2634,15.8,0.276,0.259,3.1,17.1,9.9,9.9,0.9,0.5,8.1,25.2,105,111,2,1.9,0.07,-0.7,-1.4,-2.1,-0.1
DeMarre Carroll,2016-17,30,TOR,NBA,3.8,72,72,1882,11.9,0.582,0.213,3.8,12.7,8.3,5.7,2.2,1.2,8.2,15.6,110,108,1.7,2.1,0.097,0.7,0.4,1,1.4
Willie Cauley-Stein,2015-16,22,SAC,NBA,3.8,66,39,1412,15.3,0.006,0.369,10.3,16.6,13.5,3.8,1.6,3.8,10.5,13.2,119,107,2.4,1.4,0.13,-0.8,1.5,0.7,1
Mario Chalmers,2015-16,29,TOT,NBA,3.8,61,7,1373,17.3,0.336,0.59,1.9,11.5,6.5,26.6,3.3,0.9,16.4,21.9,110,106,2.3,1.5,0.132,1.8,-0.3,1.5,1.2
Tyson Chandler,2015-16,33,PHO,NBA,3.8,66,60,1618,14.7,0.003,0.545,11.5,27.5,19.3,6,1.1,2.2,19.3,12.7,114,107,2.1,1.6,0.112,-1.9,1.3,-0.5,0.6
Darren Collison,2014-15,27,SAC,NBA,3.8,45,45,1565,17.5,0.293,0.335,1.4,8.7,5.2,27.2,2.2,0.7,15.1,20.9,112,110,3,0.8,0.116,2.8,-1.3,1.5,1.4
Matthew Dellavedova,2015-16,25,CLE,NBA,3.8,76,14,1867,11.3,0.468,0.129,2,7.8,4.9,26.2,1.2,0.4,17.7,15.9,109,108,2.2,1.6,0.098,-0.2,-1.4,-1.6,0.2
Boris Diaw,2015-16,33,SAS,NBA,3.8,76,4,1386,14,0.18,0.198,4.9,13.9,9.6,18.4,1,1.2,18.9,17,109,102,1.6,2.2,0.132,-0.1,1.4,1.2,1.1
Bryn Forbes,2018-19,25,SAS,NBA,3.8,82,81,2293,12,0.522,0.099,0.9,10.4,5.7,10.6,1,0.1,8.8,17.4,113,114,2.5,1.3,0.079,1,-1.7,-0.7,0.7
Rudy Gay,2015-16,29,SAC,NBA,3.8,70,70,2379,15.5,0.214,0.252,4.7,15.9,10.4,8,2,1.7,11.1,22.4,104,108,1.8,2.1,0.078,-0.4,0.1,-0.4,1
Manu Ginobili,2015-16,38,SAS,NBA,3.8,58,0,1134,17.8,0.411,0.257,2.7,11.7,7.3,23.6,3,0.8,17,23.6,107,98,1.5,2.3,0.16,2.3,1.3,3.6,1.6
Eric Gordon,2016-17,28,HOU,NBA,3.8,75,15,2323,13.2,0.651,0.172,1.4,8.1,4.7,12.3,1,1.4,10,22.1,109,113,2.5,1.4,0.079,1,-2.4,-1.4,0.4
Blake Griffin,2015-16,26,LAC,NBA,3.8,35,35,1170,22.1,0.03,0.322,4.8,22.3,13.7,27.2,1.2,1.1,10.8,29.8,108,103,2.2,1.6,0.156,1.7,1.6,3.3,1.6
Jrue Holiday,2016-17,26,NOP,NBA,3.8,67,61,2190,17.1,0.315,0.188,2.2,10.6,6.4,35.9,2.2,1.6,16.7,23.5,104,108,1.3,2.6,0.084,1.2,0.5,1.7,2
Richaun Holmes,2016-17,23,PHI,NBA,3.8,57,17,1193,18.6,0.187,0.25,8.7,20.1,14.4,8.3,1.7,3.7,10.7,18.6,117,106,2.2,1.6,0.151,0.2,1.5,1.7,1.1
Kris Humphries,2014-15,29,WAS,NBA,3.8,64,17,1345,15.4,0.016,0.262,10.1,24.4,17.4,6.7,1.3,1.5,8.5,18.3,108,101,1.6,2.1,0.134,-2,0.7,-1.3,0.2
Joe Johnson,2016-17,35,UTA,NBA,3.8,78,14,1843,12.8,0.412,0.123,2.1,12.8,7.6,12.6,1,0.8,9.5,18.5,109,108,1.7,2.1,0.099,-0.2,-0.1,-0.3,0.8
Michael Kidd-Gilchrist,2014-15,21,CHO,NBA,3.8,55,52,1587,15.1,0,0.444,7.4,21.9,14.4,8.2,1,1.9,9.9,18.4,106,103,1.6,2.2,0.114,-2.2,1.3,-0.8,0.5
Kyle Kuzma,2017-18,22,LAL,NBA,3.8,77,37,2401,14.2,0.418,0.2,3.9,17.4,10.7,9.1,1,1.1,11,22.5,105,109,1.5,2.3,0.077,-0.3,-1,-1.3,0.4
Brook Lopez,2017-18,29,LAL,NBA,3.8,74,72,1735,16.4,0.41,0.199,4.6,13.4,9,11.6,0.8,4.6,10.2,23.5,108,108,1.9,1.9,0.105,0.3,0.2,0.5,1.1
T.J. McConnell,2017-18,25,PHI,NBA,3.8,76,1,1706,12.5,0.147,0.093,2.4,11.5,7.1,24.5,2.6,0.6,20.4,13.8,109,105,1.3,2.5,0.108,-1.8,1.1,-0.7,0.5
T.J. McConnell,2016-17,24,PHI,NBA,3.8,81,51,2133,13.7,0.107,0.176,2,11,6.5,37.5,3.1,0.4,22.4,14.4,107,108,1.4,2.4,0.084,-2,0.1,-1.9,0
Nikola Mirotic,2016-17,25,CHI,NBA,3.8,70,15,1679,14.5,0.603,0.205,3.9,20.9,12.3,6.9,1.6,2.6,10.5,19.8,107,105,1.2,2.5,0.107,-0.1,0.4,0.4,1
Ramon Sessions,2015-16,29,WAS,NBA,3.8,82,5,1667,15.9,0.188,0.478,1.6,12.2,6.8,22,1.3,0.2,13.8,21.8,109,109,2.5,1.3,0.109,-0.3,-1.5,-1.8,0.1
Mirza Teletovic,2015-16,30,PHO,NBA,3.8,79,1,1686,16.2,0.592,0.199,3.5,16.3,9.7,9.1,0.9,1,9,23.4,111,110,2.9,0.9,0.109,2.3,-2.7,-0.5,0.7
