Player,Season,Age,Tm,Lg,WS,G,GS,MP,PER,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,OWS,DWS,WS/48,OBPM,DBPM,BPM,VORP
Stephen Curry,2015-16,27,GSW,NBA,17.9,79,79,2700,31.5,0.554,0.25,2.9,13.6,8.6,33.7,3,0.4,12.9,32.6,125,103,13.8,4.1,0.318,12.4,0.1,12.5,9.8
James Harden,2014-15,25,HOU,NBA,16.4,81,81,2981,26.7,0.378,0.561,2.8,14.2,8.5,34.6,2.6,1.6,14.9,31.3,118,103,12.2,4.2,0.265,7.4,1,8.4,7.8
Chris Paul,2014-15,29,LAC,NBA,16.1,82,82,2857,26,0.298,0.274,2.1,12.5,7.4,47.4,2.8,0.4,12.7,23.7,126,105,12.9,3.2,0.27,7.5,0,7.5,6.9
Stephen Curry,2014-15,26,GSW,NBA,15.7,80,80,2613,28,0.482,0.251,2.4,11.4,7,38.6,3,0.5,14.3,28.9,122,101,11.5,4.1,0.288,9.6,0.3,9.9,7.9
James Harden,2017-18,28,HOU,NBA,15.4,72,72,2551,29.8,0.498,0.502,1.8,15.2,8.6,45.1,2.4,1.7,15.1,36.1,120,105,11.6,3.8,0.289,9.6,1.3,10.9,8.3
James Harden,2018-19,29,HOU,NBA,15.2,78,78,2867,30.6,0.539,0.449,2.5,17.8,10,39.5,2.7,1.7,14.5,40.5,118,108,11.4,3.8,0.254,10.5,1.1,11.7,9.9
James Harden,2016-17,27,HOU,NBA,15,81,81,2947,27.4,0.493,0.575,3.5,20.9,12.2,50.7,2,1,19.5,34.2,118,107,11.5,3.6,0.245,8.7,1.5,10.1,9
Kevin Durant,2015-16,27,OKC,NBA,14.5,72,72,2578,28.2,0.348,0.361,2,21.8,12.4,24.2,1.3,2.5,13.5,30.6,122,104,11,3.5,0.27,7,0.9,7.9,6.4
Giannis Antetokounmpo,2018-19,24,MIL,NBA,14.4,72,72,2358,30.9,0.163,0.55,7.3,30,19.3,30.3,1.8,3.9,14.8,32.3,121,99,8.9,5.5,0.292,5.7,5,10.8,7.6
Rudy Gobert,2018-19,26,UTA,NBA,14.4,81,80,2577,24.6,0,0.733,13.2,30.2,21.9,9.6,1.2,5.8,12.1,17.8,133,100,8.7,5.7,0.268,2,5.1,7,5.9
Rudy Gobert,2016-17,24,UTA,NBA,14.3,81,81,2744,23.3,0.002,0.762,13.6,29.5,21.8,5.7,0.9,6.4,15,16.7,129,99,8.3,6,0.25,1.4,4.5,5.8,5.4
Anthony Davis,2014-15,21,NOP,NBA,14,68,68,2455,30.8,0.01,0.384,8,24.1,16.1,11.6,2.1,6.2,6.3,27.8,122,100,9.9,4.2,0.274,4.2,3,7.1,5.7
LeBron James,2017-18,33,CLE,NBA,14,82,82,3026,28.6,0.257,0.336,3.7,22.3,13.1,44.4,1.9,2,16.1,31.6,118,109,11,3,0.221,7.6,2,9.6,8.9
Karl-Anthony Towns,2017-18,22,MIN,NBA,14,82,82,2918,24.9,0.243,0.343,9.3,30.9,20,10.8,1.1,3.5,10.5,22.9,127,107,10.6,3.4,0.23,4.4,1.1,5.5,5.5
Russell Westbrook,2015-16,27,OKC,NBA,14,80,80,2750,27.6,0.236,0.397,6.1,18.1,12.4,49.6,2.9,0.6,16.8,31.6,115,103,10,4,0.245,7.6,2.4,10,8.3
Jimmy Butler,2016-17,27,CHI,NBA,13.8,76,75,2809,25.1,0.198,0.54,4.9,13.2,9,24.8,2.6,0.9,9.3,26.5,123,106,10.1,3.8,0.236,5.8,1.1,6.9,6.3
Anthony Davis,2017-18,24,NOP,NBA,13.7,75,75,2727,28.9,0.111,0.409,7.7,24.8,16.5,10.8,2,5.6,8.6,30,119,102,8.8,4.9,0.241,2.8,2.3,5.2,4.9
Kawhi Leonard,2015-16,24,SAS,NBA,13.7,72,72,2380,26,0.267,0.306,4.7,18.4,11.8,13,2.8,2.3,7.8,25.8,121,96,8.3,5.5,0.277,5.5,2.8,8.3,6.2
LeBron James,2015-16,31,CLE,NBA,13.6,76,76,2709,27.5,0.199,0.347,4.7,18.8,11.8,36,2,1.5,13.2,31.4,116,103,9.6,4,0.242,6.9,2.3,9.1,7.6
Kawhi Leonard,2016-17,25,SAS,NBA,13.6,74,74,2474,27.6,0.295,0.406,3.7,15.7,9.8,18.9,2.7,1.8,9.1,31.1,121,102,8.9,4.7,0.264,6.4,1.5,7.9,6.2
James Harden,2015-16,26,HOU,NBA,13.3,82,82,3125,25.3,0.406,0.518,2.2,15.6,8.8,35.4,2.2,1.4,15.9,32.5,115,108,10.7,2.6,0.204,7.1,-0.4,6.7,6.9
Russell Westbrook,2016-17,28,OKC,NBA,13.1,81,81,2802,30.6,0.3,0.433,5.4,28.8,17.1,57.3,2.3,0.9,15.9,41.7,112,104,8.5,4.6,0.224,10.9,4.7,15.6,12.4
LeBron James,2016-17,32,CLE,NBA,12.9,74,74,2794,27,0.254,0.395,4,20.7,12.6,41.3,1.6,1.3,16.1,30,119,108,9.8,3,0.221,6.8,1.6,8.4,7.3
DeAndre Jordan,2014-15,26,LAC,NBA,12.8,82,82,2820,21,0.007,0.882,16.2,32.4,24.5,3.2,1.5,5.4,12.8,13.6,126,98,7.4,5.4,0.217,0.9,3.2,4.1,4.3
Chris Paul,2015-16,30,LAC,NBA,12.7,74,74,2420,26.2,0.295,0.294,1.8,12,7,52.7,3.1,0.4,13.4,27.1,119,103,9.2,3.5,0.253,7.3,0.5,7.8,6
Karl-Anthony Towns,2016-17,21,MIN,NBA,12.7,82,82,3030,25.9,0.186,0.289,11.2,27.8,19.4,13.2,0.9,2.9,11.3,27.5,121,110,9.9,2.8,0.201,4.7,0.2,4.9,5.3
Stephen Curry,2016-17,28,GSW,NBA,12.6,79,79,2638,24.6,0.547,0.251,2.7,11.4,7.3,31.2,2.6,0.5,13,30.1,119,105,8.7,3.9,0.229,7.8,-0.4,7.3,6.2
Damian Lillard,2017-18,27,POR,NBA,12.6,73,73,2670,25.2,0.445,0.38,2.6,10.6,6.6,30.9,1.4,0.8,11.1,30.6,120,109,9.9,2.7,0.227,7.7,-1,6.7,5.9
Isaiah Thomas,2016-17,27,BOS,NBA,12.5,76,76,2569,26.5,0.439,0.441,1.9,7,4.4,32.5,1.4,0.4,10.7,34,122,112,10.9,1.6,0.234,8.7,-3.3,5.4,4.8
Giannis Antetokounmpo,2016-17,22,MIL,NBA,12.4,80,80,2845,26.1,0.143,0.486,5.9,22.6,14.3,26.6,2.3,4.7,13.3,28.3,116,104,7.9,4.5,0.21,4.1,3.5,7.6,6.9
Damian Lillard,2018-19,28,POR,NBA,12.1,80,80,2838,23.7,0.419,0.335,2.6,11.1,7,30.6,1.5,1,10.8,29.3,121,112,9.7,2.4,0.205,6.6,-1.1,5.5,5.4
Kevin Durant,2016-17,28,GSW,NBA,12,62,62,2070,27.6,0.304,0.374,2.2,23.6,13.6,23.1,1.5,3.8,10.4,27.8,125,101,8,4,0.278,5.4,2.6,8,5.2
Giannis Antetokounmpo,2017-18,23,MIL,NBA,11.9,75,75,2756,27.3,0.1,0.457,6.7,25.3,16,23.7,2,3.3,11.7,31.2,116,106,8.3,3.6,0.207,3.9,1.9,5.8,5.4
Paul George,2018-19,28,OKC,NBA,11.9,77,77,2841,23.3,0.469,0.335,3.7,19.6,11.4,17.7,2.8,1,10,29.5,116,105,7,4.9,0.201,4.7,0.7,5.5,5.3
Nikola Jokic,2018-19,23,DEN,NBA,11.8,80,80,2504,26.3,0.224,0.292,9.8,27.6,18.7,37,2.1,1.9,15.4,27.4,119,105,7.5,4.3,0.226,5.7,3.8,9.5,7.3
DeAndre Jordan,2016-17,28,LAC,NBA,11.8,81,81,2570,21.8,0.003,0.737,13.3,34.6,24.2,5.7,1,4.3,13.1,15.3,129,102,7.2,4.6,0.221,1,3,4.1,3.9
Kyle Lowry,2015-16,29,TOR,NBA,11.6,77,77,2851,22.2,0.457,0.41,2.2,12.3,7.3,29.9,2.9,1,13.7,26.1,115,104,8,3.7,0.196,6.2,0.6,6.8,6.3
Kevin Durant,2018-19,30,GSW,NBA,11.5,78,78,2702,24.2,0.281,0.366,1.4,17.5,9.8,26.2,1,2.6,12.3,29,121,110,8.6,2.9,0.204,4.2,0.1,4.3,4.3
DeAndre Jordan,2015-16,27,LAC,NBA,11.5,77,77,2598,20.6,0.002,1.219,11.4,32.7,22.2,5.3,1,5.4,12.1,15.4,122,98,6,5.5,0.213,-0.4,3.8,3.4,3.5
Jimmy Butler,2014-15,25,CHI,NBA,11.2,65,65,2513,21.3,0.212,0.508,5.1,11.2,8.2,14.4,2.3,1,7.7,21.6,122,104,8.2,3,0.214,4.1,0.6,4.7,4.2
Draymond Green,2015-16,25,GSW,NBA,11.1,81,81,2808,19.3,0.315,0.402,5.5,23,14.7,29,2,3,21.2,18.8,115,100,6,5.1,0.19,2,3.9,5.8,5.5
Anthony Davis,2016-17,23,NOP,NBA,11,75,75,2708,27.5,0.088,0.424,6.7,27.9,17.2,11.1,1.7,5.1,9.1,32.6,112,102,5.9,5.1,0.195,1.4,2.3,3.7,3.9
LaMarcus Aldridge,2017-18,32,SAS,NBA,10.9,75,75,2509,25,0.068,0.296,10.8,17.3,14,11.3,0.9,3,6.8,29.1,118,105,7.4,3.5,0.209,3,0.3,3.3,3.3
Clint Capela,2018-19,24,HOU,NBA,10.8,67,67,2249,23.8,0,0.357,14.4,27.6,20.8,7.1,1,3.9,10,18.2,133,108,7.8,3,0.23,1.3,1.6,2.9,2.8
Nikola Jokic,2017-18,22,DEN,NBA,10.7,75,73,2443,24.4,0.277,0.31,9,27.9,18.5,29.6,1.8,2.1,15.5,24.2,121,107,7.8,2.9,0.211,4.8,2.3,7.1,5.6
Damian Lillard,2014-15,24,POR,NBA,10.6,82,82,2925,20.7,0.421,0.293,1.8,11.8,6.9,29,1.7,0.5,12.6,26.9,112,105,7.3,3.3,0.174,5,0,5.1,5.2
Chris Paul,2016-17,31,LAC,NBA,10.6,61,61,1921,26.2,0.385,0.331,2.4,15,8.9,46.8,3.1,0.3,14,24.4,126,106,7.9,2.6,0.264,7.8,1.1,8.8,5.3
Russell Westbrook,2014-15,26,OKC,NBA,10.6,67,67,2302,29.1,0.196,0.445,5.9,16.7,11.4,47,3,0.5,14.3,38.4,111,103,7.5,3.2,0.222,8.8,2.2,11,7.6
Kevin Durant,2017-18,29,GSW,NBA,10.4,68,68,2325,26,0.338,0.331,1.6,19.5,11.2,25.5,1,4,12.9,30.4,119,107,7.5,2.9,0.215,5,0.7,5.6,4.5
Pau Gasol,2014-15,34,CHI,NBA,10.4,78,78,2681,22.7,0.023,0.317,9.2,27.6,18.6,14.4,0.5,4,10.7,24.7,112,101,6,4.4,0.187,0.7,2.1,2.8,3.2
Gordon Hayward,2016-17,26,UTA,NBA,10.4,73,73,2516,22.2,0.324,0.371,2.3,15.4,9,18.2,1.5,0.6,9.4,27.6,118,106,7.1,3.3,0.199,4.2,0,4.2,4
Kyrie Irving,2014-15,22,CLE,NBA,10.4,75,75,2730,21.5,0.306,0.296,2.3,7.5,5,25,2.2,0.6,11.8,26.2,117,108,8.4,2,0.183,4.7,-1.4,3.3,3.7
LeBron James,2014-15,30,CLE,NBA,10.4,69,69,2493,25.9,0.265,0.413,2.4,16.6,9.6,38.6,2.3,1.6,15.3,32.3,112,105,7.4,2.9,0.199,6.2,1.2,7.4,5.9
Damian Lillard,2016-17,26,POR,NBA,10.4,75,75,2694,24.1,0.389,0.366,1.9,13.3,7.6,28.7,1.3,0.6,10.2,31.5,118,113,8.8,1.5,0.185,6.4,-2,4.3,4.3
Karl-Anthony Towns,2018-19,23,MIN,NBA,10.4,77,77,2545,26.3,0.27,0.342,10.9,29.3,20,17.2,1.3,4.2,13.7,28.9,118,108,7.2,3.2,0.197,4.8,2,6.8,5.7
Tyson Chandler,2014-15,32,DAL,NBA,10.3,75,75,2286,20.1,0,0.584,14.1,27.4,20.7,5.3,0.9,3.2,16,12.8,133,103,7.2,3.1,0.216,1.9,2.3,4.2,3.6
Andre Drummond,2017-18,24,DET,NBA,10.3,78,78,2625,22.9,0.012,0.448,16.4,36.4,26.2,14.3,2.2,4.3,15.9,21.2,113,99,4.6,5.7,0.189,0.2,5.3,5.5,5
Hassan Whiteside,2015-16,26,MIA,NBA,10.3,73,43,2125,25.7,0,0.482,13.1,32.4,23.1,2.4,1.1,9.7,14.2,20.7,117,95,5,5.3,0.233,-0.9,3.4,2.5,2.4
Clint Capela,2017-18,23,HOU,NBA,10.2,74,74,2034,24.5,0.001,0.38,13.5,30.8,22.2,5.7,1.4,5.7,11.5,19.4,126,101,6.2,4.1,0.242,0.1,2.9,3,2.6
Marc Gasol,2014-15,30,MEM,NBA,10.2,81,81,2687,21.7,0.016,0.41,4.9,21.8,13.4,19.7,1.4,4,12.2,24.6,111,100,5.5,4.7,0.182,1.3,3.5,4.8,4.6
Kyle Lowry,2017-18,31,TOR,NBA,10.2,78,78,2510,19.5,0.631,0.276,3,16.1,9.7,30.9,1.7,0.6,14.7,21.7,120,107,7,3.1,0.194,5.4,0.5,5.9,5
Chris Paul,2017-18,32,HOU,NBA,10.2,58,58,1847,24.4,0.475,0.277,2.3,16.7,9.5,40.9,2.6,0.6,12.5,24.5,126,105,7.5,2.7,0.265,6.2,0.9,7.1,4.3
LaMarcus Aldridge,2015-16,30,SAS,NBA,10.1,74,74,2261,22.4,0.015,0.289,9.2,22.2,15.9,8.1,0.9,2.8,7.8,25.9,114,99,5.6,4.5,0.215,0.7,1.1,1.8,2.2
Kyle Lowry,2016-17,30,TOR,NBA,10.1,60,60,2244,22.9,0.51,0.398,2.4,12,7.2,29.9,2,0.7,13.8,24.9,123,109,7.8,2.3,0.216,7.1,-0.5,6.6,4.9
Paul Millsap,2015-16,30,ATL,NBA,10.1,81,81,2647,21.3,0.218,0.383,8.4,21.5,15.1,16.4,2.7,4.1,13.3,24.3,108,96,4.1,6,0.183,1.1,4.2,5.3,4.9
Nikola Vucevic,2018-19,28,ORL,NBA,10.1,80,80,2510,25.5,0.171,0.168,9.4,31.9,20.5,21.9,1.6,3,9.9,28,115,103,5.4,4.7,0.193,3,3.4,6.4,5.3
Russell Westbrook,2017-18,29,OKC,NBA,10.1,80,80,2914,24.7,0.193,0.336,5.6,25.7,15.3,49.8,2.5,0.6,16.4,34.1,109,104,5.5,4.5,0.166,5.1,3.1,8.2,7.5
Mike Conley,2016-17,29,MEM,NBA,10,69,68,2292,23.2,0.415,0.365,1.5,10.8,6,34.5,2.1,0.8,11.8,26.3,121,108,7.5,2.5,0.209,6.5,-0.8,5.7,4.5
Andre Drummond,2018-19,25,DET,NBA,10,79,79,2647,23.4,0.036,0.392,16.8,34.7,25.4,7.2,2.5,4.4,12.4,22.9,113,100,4.1,5.9,0.181,-0.7,3.6,2.9,3.3
DeMar DeRozan,2015-16,26,TOR,NBA,9.9,78,78,2804,21.5,0.101,0.474,2.7,11.5,7.1,20.8,1.5,0.6,9.5,29.8,113,108,7.5,2.4,0.169,2.7,-1.2,1.4,2.4
Kemba Walker,2015-16,25,CHO,NBA,9.9,81,81,2885,20.8,0.368,0.329,2.1,11.5,6.8,25.7,2.2,1.1,10.1,26.5,112,105,6.3,3.6,0.165,4,0,4,4.4
Steven Adams,2017-18,24,OKC,NBA,9.7,76,76,2487,20.6,0.003,0.402,16.6,13.9,15.3,5.5,1.8,2.8,13.2,16.7,125,107,6.7,3,0.187,2.2,1.1,3.3,3.3
Stephen Curry,2018-19,30,GSW,NBA,9.7,69,69,2331,24.4,0.604,0.214,2.2,14.2,8.4,24.2,1.9,0.9,11.6,30.4,120,110,7.2,2.5,0.199,7.7,-1.4,6.3,4.9
Nikola Jokic,2016-17,21,DEN,NBA,9.7,73,59,2038,26.3,0.163,0.267,11.6,27.2,19.5,28.8,1.5,2.1,15.2,23.5,126,109,7.7,2,0.228,6.2,2.2,8.4,5.3
Isaiah Thomas,2015-16,26,BOS,NBA,9.7,82,79,2644,21.5,0.336,0.394,1.8,8,4.9,32.7,1.7,0.3,11.9,29.6,113,107,7.2,2.5,0.177,5,-2,3,3.3
DeMar DeRozan,2017-18,28,TOR,NBA,9.6,80,80,2711,21,0.203,0.396,2.5,10.4,6.5,25,1.5,0.6,9.5,29.6,114,109,6.8,2.8,0.17,2.7,-0.9,1.8,2.6
Tim Duncan,2014-15,38,SAS,NBA,9.6,77,77,2227,22.6,0.009,0.38,8.8,26.7,17.9,16.8,1.4,5.1,12.1,22.2,113,97,4.9,4.7,0.207,0.8,4.7,5.5,4.2
Anthony Davis,2018-19,25,NOP,NBA,9.5,56,56,1850,30.3,0.141,0.422,9.9,27.5,18.8,19,2.2,6,8.4,29.5,122,105,6.4,3.1,0.247,4.7,3.9,8.5,4.9
Kawhi Leonard,2018-19,27,TOR,NBA,9.5,60,60,2040,25.8,0.267,0.377,4.2,18.6,11.6,16.4,2.5,1,8.4,30.3,119,105,6.1,3.4,0.224,4.3,0.7,5,3.6
Hassan Whiteside,2016-17,27,MIA,NBA,9.5,77,77,2513,22.6,0,0.368,12.8,35.3,24,3.8,1.1,5,12,22.7,113,100,4.2,5.3,0.181,-2,1.5,-0.5,0.9
Al Horford,2015-16,29,ATL,NBA,9.4,82,82,2631,19.4,0.244,0.123,6.3,18.2,12.4,16.7,1.3,3.6,8.8,20.6,113,101,4.9,4.5,0.172,1.5,2.6,4.1,4.1
DeAndre Jordan,2017-18,29,LAC,NBA,9.4,77,77,2424,20.2,0,0.54,15.1,37.6,26.5,7.1,0.8,2.4,16.1,15.2,125,105,6,3.4,0.186,0.5,1.6,2.1,2.5
Otto Porter,2016-17,23,WAS,NBA,9.4,80,80,2605,17.3,0.425,0.148,5.1,17.1,11.1,6.7,2.2,1.3,4.9,15.1,129,108,6.4,3,0.173,3,0.9,3.9,3.9
LaMarcus Aldridge,2018-19,33,SAS,NBA,9.3,81,81,2687,22.9,0.032,0.312,10.3,19.8,15.1,11.6,0.8,3.4,8.8,26.9,117,110,6.4,2.9,0.167,1.2,0.5,1.6,2.5
Rudy Gobert,2014-15,22,UTA,NBA,9.3,82,37,2158,21.6,0.005,0.639,14.3,27.2,20.7,8.2,1.6,7,16.9,14,122,98,5,4.3,0.206,0.7,5.1,5.8,4.3
Pascal Siakam,2018-19,24,TOR,NBA,9.3,80,79,2548,18.7,0.226,0.32,5.4,17.5,11.6,14.6,1.4,1.7,12.5,20.8,120,107,5.7,3.6,0.175,2,1.4,3.4,3.5
Paul George,2015-16,25,IND,NBA,9.2,81,81,2819,20.9,0.391,0.364,3.1,18.7,10.9,20.3,2.7,0.8,13.6,30.4,106,101,4.4,4.8,0.157,3.5,1,4.5,4.6
Damian Lillard,2015-16,25,POR,NBA,9.2,75,75,2676,22.2,0.414,0.315,1.8,10.4,6.1,33.6,1.2,0.8,12.6,31.3,113,110,7.7,1.4,0.165,5.9,-2.2,3.7,3.8
Ben Simmons,2017-18,21,PHI,NBA,9.2,81,81,2732,20,0.011,0.342,5.9,19.5,13,37.4,2.5,2.1,19.5,22.3,111,102,4.2,5,0.162,1,3.6,4.6,4.6
Steven Adams,2018-19,25,OKC,NBA,9.1,80,80,2669,18.5,0.002,0.361,14.7,14.8,14.7,6.6,2,2.4,12.6,16.4,120,106,5.1,4,0.163,0.6,2.1,2.7,3.2
Jimmy Butler,2015-16,26,CHI,NBA,9.1,67,67,2474,21.3,0.198,0.459,3.4,11.6,7.6,21.4,2.2,1.3,9.6,24.4,116,106,6.5,2.7,0.177,3.6,0.3,4,3.7
Stephen Curry,2017-18,29,GSW,NBA,9.1,51,51,1631,28.2,0.58,0.35,2.7,14.4,9,30.3,2.4,0.4,13.3,31,125,108,7.2,1.8,0.267,9.9,-1.3,8.6,4.4
Kyrie Irving,2018-19,26,BOS,NBA,9.1,67,67,2214,24.3,0.35,0.197,3.4,12.7,8.1,35,2.2,1.4,11.3,29.6,118,108,6.2,2.9,0.197,6,0.4,6.4,4.7
DeMar DeRozan,2016-17,27,TOR,NBA,9,74,74,2620,24,0.08,0.419,3,13.6,8.3,20.6,1.5,0.4,9,34.3,113,110,6.7,2.4,0.166,2.4,-1.5,0.9,1.9
Blake Griffin,2014-15,25,LAC,NBA,9,67,67,2356,22.8,0.022,0.373,6.1,17.9,12.1,26.2,1.4,1.2,10.2,28.4,113,106,6.6,2.4,0.183,3.1,1,4.1,3.6
Jimmy Butler,2017-18,28,MIN,NBA,8.9,59,59,2164,23.7,0.217,0.461,4.2,12.7,8.4,20.6,2.7,1,8.9,24.9,122,110,7.1,1.8,0.198,4.9,0.1,5,3.8
Paul George,2017-18,27,OKC,NBA,8.9,79,79,2891,18.7,0.454,0.307,2.7,14.9,8.6,14.5,2.8,1.2,12.2,25.7,112,106,5,3.9,0.148,2.5,0,2.6,3.3
Gordon Hayward,2015-16,25,UTA,NBA,8.9,80,80,2893,18.3,0.341,0.397,2.5,13.5,8,18.2,1.7,0.8,12.5,25.7,110,105,5.5,3.4,0.147,2.6,-0.1,2.5,3.3
Kyrie Irving,2017-18,25,BOS,NBA,8.9,60,60,1931,25,0.374,0.24,1.9,10.8,6.4,30.7,1.7,0.7,10.4,31,118,106,6.3,2.7,0.222,6.9,-0.7,6.2,4
Kyrie Irving,2016-17,24,CLE,NBA,8.9,72,72,2525,23,0.311,0.231,2.3,7.5,5,29.7,1.6,0.8,10.3,30.8,116,112,7.4,1.5,0.17,4.8,-2.3,2.5,2.9
Klay Thompson,2014-15,24,GSW,NBA,8.8,77,77,2455,20.8,0.42,0.197,1.2,9.4,5.4,14.6,1.7,1.8,9.5,27.6,112,104,5.7,3.1,0.172,3.6,-1,2.7,2.9
John Wall,2016-17,26,WAS,NBA,8.8,78,78,2836,23.2,0.19,0.367,2.4,10.6,6.5,46.9,2.7,1.4,16.2,30.6,111,108,5.8,3,0.149,3.8,0.2,4.1,4.3
Joel Embiid,2018-19,24,PHI,NBA,8.7,64,64,2154,26.1,0.219,0.541,8.1,34,21.4,18.4,1,4.4,13.2,33.3,114,104,4.9,3.8,0.194,2,2.1,4.1,3.3
Montrezl Harrell,2018-19,25,LAC,NBA,8.7,82,5,2158,23.4,0.019,0.466,9.3,16.7,13.1,12.5,1.6,4,11,23.5,122,109,6.1,2.6,0.193,2.6,1.6,4.2,3.4
Gordon Hayward,2014-15,24,UTA,NBA,8.7,76,76,2618,20.2,0.304,0.425,2.4,14,8.2,21.7,2.2,0.9,13.8,26.2,111,105,5.8,2.9,0.159,3.3,0.1,3.4,3.6
Al Horford,2014-15,28,ATL,NBA,8.7,76,76,2318,21.4,0.037,0.146,6.7,19.8,13.4,18.6,1.5,3.5,8.9,22.2,114,102,5.1,3.6,0.179,1.3,2.5,3.8,3.4
Kevin Love,2014-15,26,CLE,NBA,8.7,75,75,2532,18.8,0.412,0.337,6.5,26.3,16.6,10.7,1,1.2,10,21.7,115,105,5.8,2.9,0.165,2,-0.1,1.9,2.5
Tristan Thompson,2015-16,24,CLE,NBA,8.7,82,34,2269,15.9,0,0.576,13.5,23.3,18.4,4,0.9,1.8,10.4,11.7,130,104,5.6,3.1,0.185,0.2,1.3,1.5,2
LaMarcus Aldridge,2014-15,29,POR,NBA,8.6,71,71,2512,22.8,0.074,0.256,7.7,22.9,15.5,9.2,1,1.9,7.2,30.2,108,102,4.9,3.7,0.165,0.3,0,0.3,1.4
Marcin Gortat,2014-15,30,WAS,NBA,8.6,82,82,2453,18.2,0.004,0.226,8.5,24.1,16.5,6.5,1,3.6,10.5,17.6,114,100,4.4,4.2,0.168,-0.4,2.3,1.8,2.4
Kawhi Leonard,2014-15,23,SAS,NBA,8.6,64,64,2033,22,0.234,0.307,4.8,20.6,12.9,13,3.7,1.8,9.4,23,113,96,4.2,4.4,0.204,2.6,3.5,6.1,4.1
Bradley Beal,2016-17,23,WAS,NBA,8.5,77,77,2684,20.1,0.418,0.259,2.2,7.8,5,16.2,1.5,0.7,9.6,26.5,117,112,6.9,1.6,0.152,4.5,-2.3,2.2,2.8
Draymond Green,2014-15,24,GSW,NBA,8.5,79,79,2490,16.4,0.43,0.261,5.1,22.4,14,16.1,2.4,2.9,13.5,17.2,110,97,3.3,5.2,0.163,1,4,5,4.4
Kevin Love,2015-16,27,CLE,NBA,8.5,77,77,2424,19,0.449,0.321,7,28.4,17.8,12.2,1.2,1.4,11.3,23.4,112,102,4.7,3.8,0.169,1.7,0.9,2.5,2.8
Kemba Walker,2017-18,27,CHO,NBA,8.5,80,80,2736,20.6,0.441,0.308,1.2,8.7,4.9,27.4,1.6,0.7,10.4,27.4,115,111,6.5,2,0.15,5.1,-1.9,3.2,3.6
Derrick Favors,2014-15,23,UTA,NBA,8.3,74,74,2280,21.8,0.007,0.362,10,20.7,15.4,9.4,1.4,4.3,10.2,23.8,113,102,5,3.3,0.175,0.8,1.7,2.4,2.6
Dwight Howard,2016-17,31,ATL,NBA,8.3,74,74,2199,20.8,0.003,0.692,15,31.7,23.5,7.8,1.4,3.6,17.5,19.2,115,100,3.8,4.5,0.181,-0.5,2.8,2.3,2.4
Paul Millsap,2014-15,29,ATL,NBA,8.3,73,73,2390,20,0.232,0.362,6.9,20,13.6,15.4,2.8,2.4,13.3,23.8,109,99,4,4.3,0.166,1.6,2.6,4.2,3.7
Victor Oladipo,2017-18,25,IND,NBA,8.3,75,75,2552,23.1,0.323,0.274,2.1,15.1,8.6,21.2,3.5,2,12.7,30.1,110,104,4.3,4,0.155,3.6,1.3,4.9,4.5
Karl-Anthony Towns,2015-16,20,MIN,NBA,8.3,82,82,2627,22.5,0.076,0.239,10.3,27.5,19,11.3,1.1,4.3,12.6,24.9,112,106,5.5,2.8,0.151,1.6,1.1,2.8,3.2
Eric Bledsoe,2018-19,29,MIL,NBA,8.2,78,78,2272,19.3,0.388,0.243,3.9,11.8,8.1,27.4,2.4,1.1,13.3,22.9,116,105,4.4,3.7,0.173,2.5,1,3.5,3.2
Danilo Gallinari,2018-19,30,LAC,NBA,8.2,68,68,2059,21,0.421,0.459,2.9,18.1,10.7,13.2,1.1,0.9,8.5,23.8,125,112,6.4,1.8,0.191,4.2,-1.2,2.9,2.6
Draymond Green,2016-17,26,GSW,NBA,8.2,76,76,2471,16.5,0.405,0.328,4.7,20.9,13.3,27.6,3,3.4,19.8,16.2,111,99,2.8,5.4,0.16,0.5,5,5.4,4.6
Ben Simmons,2018-19,22,PHI,NBA,8.2,79,79,2700,20,0.006,0.446,6.9,20,13.7,34.2,2,1.8,19.3,22.1,114,108,4.6,3.6,0.146,1.4,2.6,4.1,4.1
Jonas Valanciunas,2014-15,22,TOR,NBA,8.2,80,80,2096,20.6,0.002,0.423,11.8,26.3,19.1,3.1,0.8,3.6,12.4,19.1,121,105,5.8,2.4,0.189,0.1,-0.6,-0.5,0.8
Rudy Gobert,2017-18,25,UTA,NBA,8.1,56,56,1816,20.7,0,0.673,10.4,27,18.8,6.9,1.2,6,15.7,16.9,122,99,4.2,3.9,0.214,-0.3,4.6,4.3,2.9
Enes Kanter,2015-16,23,OKC,NBA,8.1,82,1,1721,24,0.029,0.349,16.7,24.9,21,3.1,0.7,1.5,12.2,23.4,123,105,6,2.1,0.226,1.3,-3.1,-1.7,0.1
Otto Porter,2017-18,24,WAS,NBA,8.1,77,77,2432,18.3,0.354,0.145,4.8,18.1,11.4,10.1,2.4,1.5,7.4,18.4,120,107,5,3.1,0.161,2.4,1.2,3.6,3.4
Jeff Teague,2016-17,28,IND,NBA,8.1,82,82,2657,19.2,0.277,0.457,1.4,12.4,7,36.4,1.9,1.1,16.5,22.1,115,110,5.7,2.4,0.146,2.4,-0.5,1.9,2.6
